Metric	metadata-catagory	R2.adj	Df	AIC	F	Pr(>F)
weighted UniFrac	+ collection_timestamp	0.00946304513873131	10.0	1099.8757823538301	1.2187740019324098	0.002
weighted UniFrac	+ jpl_location_area	0.005447847424283491	15.0	1112.28841623069	1.08074251536643	0.002
weighted UniFrac	+ jpl_pma	0.0032650248697721	1.0	1112.3946040580802	1.67839553465825	0.002
weighted UniFrac	<All variables>	0.0026522118651430004				
unweighted UniFrac	+ collection_timestamp	0.00216622936419653	10.0	1220.64822707601	1.04971434511431	0.002
unweighted UniFrac	<All variables>	0.0011208779262008501				
Aitchison	+ jpl_pma	0.139652744854039	1.0	220.075667179363	38.1715936562723	0.002
Aitchison	+ jpl_location_area	0.06359649205136902	15.0	216.76070883151502	2.21326106476042	0.002
Aitchison	+ collection_timestamp	0.04803330624159596	10.0	211.399433947277	2.36648266122486	0.004
Aitchison	+ host_subject_id	0.024497408359408	9.0	211.318162295802	1.7629623846606999	0.026000000000000002
Aitchison	<All variables>	0.00034686334553102327				
